TrialIdx,a1,a2,a3,a4,a5,a6,a7,a8
0,1.43454674,0.6554532599999998,2.103408589878625,2.758861849878625,0.010215616320167875,0.679693653319366,0.5437549226554929,0.1359387306638732
1,1.34531656,0.6146834399999999,0.5196719535435106,1.1343553935435104,0.014809050150386582,2.4047822426354726,1.923825794108378,0.4809564485270944
2,1.39336358,0.6366364199999999,0.43041788395425273,1.0670543039542526,0.007024032947412273,0.8772611315607675,0.7018089052486141,0.17545222631215346
3,1.39336358,0.6366364199999999,1.3654526685145782,2.002089088514578,0.031370084234759066,1.5243989935115536,1.219519194809243,0.30487979870231063
4,1.3659081400000002,0.6240918599999999,1.15169984733871,1.7757917073387097,0.015053027830886467,2.46920197365044,1.975361578920352,0.49384039473008784
5,1.372772,0.6272279999999999,0.15595962819719578,0.7831876281971957,0.018402151673413414,0.5128187931815518,0.4102550345452414,0.10256375863631033
6,1.4139551600000002,0.64604484,0.8913586776728799,1.53740351767288,0.0018976693410097667,1.6471280585897534,1.3177024468718028,0.3294256117179506
7,1.4963214800000002,0.68367852,2.468745972138017,3.152424492138017,0.030568293671223934,1.259098561371613,1.0072788490972904,0.25181971227432254
8,1.35218042,0.6178195799999999,0.734132986244129,1.351952566244129,0.027227444579753346,0.8786378653943174,0.702910292315454,0.17572757307886344
9,1.40022744,0.6397725599999999,0.25507278292209845,0.8948453429220984,0.004940781494783941,1.583043673195299,1.2664349385562392,0.31660873463905975
10,1.42768288,0.6523171199999999,1.071469795223912,1.7237869152239118,0.01779750283845427,0.6548982346956773,0.5239185877565419,0.13097964693913544
11,1.42081902,0.6491809799999998,1.577154663293134,2.2263356432931336,0.005598742455076966,1.5287674679322611,1.223013974345809,0.30575349358645215
12,1.40022744,0.6397725599999999,0.3337397686272232,0.9735123286272231,0.01784566533908194,1.1563683353676417,0.9250946682941135,0.23127366707352828
13,1.44827446,0.6617255399999998,0.651524013598642,1.313249553598642,0.01212485005247732,0.3817925767460655,0.3054340613968524,0.07635851534921308
14,1.4070913,0.6429086999999999,1.7679887464935629,2.410897446493563,0.03178609264613552,3.2510046059812456,2.6008036847849967,0.650200921196249
